GeneID,Chromosome,Peak_Start,Peak_End,Strand,,
Sh3pxd2a,chr19,47506759,47507275,+,,
Cxxc5,chr18,36009689,36009730,+,,
Cep63,chr9,102527691,102529423,+,,
Bud13,chr9,46090813,46091165,+,,
Anapc13,chr9,102527691,102529423,+,,
Fmnl3,chr15,99195451,99195699,+,,
Gfi1,chr5,108153360,108155277,+,,
A430072P03Rik,chr5,108153360,108155277,+,,
Pten,chr19,32828523,32833603,+,,
Cd72,chr4,43466245,43470510,+,,
Gm10797,chr10,67136241,67136462,+,,
RP23-342N19.2,chr9,74696707,74698376,+,,
Hexim2,chr11,102993230,102994294,+,,
Gm16551,chr9,74696707,74698376,+,,
Akna,chr4,63063457,63066409,+,,
AA987161,chr13,67710007,67710982,+,,
Pfkp,chr13,6631682,6632987,+,,
Bhlhe40,chr6,108667582,108667961,+,,
Bank1,chr3,136010373,136010594,+,,
Cblb,chr16,52060478,52061619,+,,
Zc3h4,chr7,16985539,16986084,+,,
Fam43a,chr16,30675345,30680923,+,,
Rnf145,chr11,44331221,44334188,+,,
Sim1,chr10,50617571,50624213,+,,
H2-Oa,chr17,34239236,34240661,+,,
Hes1,chr16,30062374,30068509,+,,
Csnk2a1,chr2,152052050,152053315,+,,
Serpinb7,chr1,109343909,109344096,+,,
9330198N18Rik,chr2,30545472,30546078,+,,
Btg2,chr1,135973365,135977004,+,,
Smg1,chr7,125387479,125387995,+,,
4930583K01Rik,chr7,125387479,125387995,+,,
Zfp809,chr9,22029199,22030581,+,,
Srcap,chr7,134655120,134656537,+,,
snoU6-77,chr11,69484348,69486345,+,,
SNORA67,chr11,69484348,69486345,+,,
SNORA48,chr11,69484348,69486345,+,,
Rab30,chr7,99889145,99892471,+,,
Eif4a1,chr11,69484348,69486345,+,,
Arhgef1,chr7,25686829,25690752,+,,
4632427E13Rik,chr7,99889145,99892471,+,,
Cd79a,chr7,25686829,25690752,+,,
Csk,chr9,57486944,57489327,+,,
Adap1,chr5,139761389,139761940,+,,
Foxk1,chr5,142851757,142852518,+,,
Kdm2b,chr5,123400372,123402196,+,,
C330006D17Rik,chr9,7835867,7837104,+,,
Birc2,chr9,7835867,7837104,+,,
Whsc1l1,chr8,26711453,26713410,+,,
Ppp1r16b,chr2,158508172,158508653,+,,
Snai3,chr8,124984782,124985989,+,,
Cdc14a,chr3,116126351,116127891,+,,
1110036E04Rik,chr9,63897105,63898152,+,,
Gm20388,chr8,124984782,124985989,+,,
Akna,chr4,63046324,63047299,+,,
4933437N03Rik,chr4,63046324,63047299,+,,
Slc38a2,chr15,96545141,96545363,+,,
A430104N18Rik,chr11,87561864,87566371,+,,
4933407C03Rik,chr8,119780983,119782106,+,,
C130071C03Rik,chr13,83854585,83860173,+,,
Lbx1,chr19,45310024,45311963,+,,
Btg1,chr10,95854384,95854551,+,,
Vezf1,chr11,87882230,87883443,+,,
Gm4675,chr14,118631032,118634196,+,,
Ankrd33b,chr15,31296369,31299104,+,,
Sox21,chr14,118631032,118634196,+,,
Scn4a,chr11,106186192,106187778,+,,
Zfp617,chr8,74446137,74447607,+,,
AC114668.1,chr3,130722023,130722491,+,,
F2r,chr13,96362669,96363093,+,,
Tcf7l2,chr19,55841627,55844238,+,,
Cbx8,chr11,118902535,118905719,+,,
Foxd1,chr13,99125473,99127932,+,,
Ccnd2,chr6,127103612,127104791,+,,
1110028C15Rik,chr1,66862066,66863579,+,,
9330179D12Rik,chr6,127103612,127104791,+,,
Slit3,chr11,34904311,34904756,+,,
Prkg1,chr19,31284867,31285619,+,,
Gsx2,chr5,75470631,75471220,+,,
Fam168b,chr1,34898678,34900878,+,,
AC123853.1,chr19,44357738,44357887,+,,
Gm7461,chr8,4676929,4678882,+,,
Gm6410,chr8,4676929,4678882,+,,
Xylt1,chr7,124711075,124711881,+,,
Il4ra,chr7,132723280,132726594,+,,
Foxp1,chr6,99006027,99008286,+,,
4930519G04Rik,chr5,115314711,115315235,+,,
Tctex1d4,chr4,116796304,116799235,+,,
Gm13014,chr4,116796304,116799235,+,,
Btbd19,chr4,116796304,116799235,+,,
Rnf145,chr11,44340066,44340647,+,,
Tmc8,chr11,117641469,117643258,+,,
Tmc6,chr11,117641469,117643258,+,,
4930523C07Rik,chr1,161977471,161977968,+,,
Trim25,chr11,88884920,88886759,+,,
Lcp1,chr14,75576216,75581118,+,,
Pip4k2a,chr2,18904920,18906563,+,,
Mef2c,chr13,83179728,83181074,+,,
Nup160,chr2,90513193,90514418,+,,
Tnfrsf9,chr4,150288241,150288521,+,,
Park7,chr4,150288241,150288521,+,,
Ptpn22,chr3,103676624,103676757,+,,
Hspb7,chr4,140975006,140976119,+,,
Hivep2,chr10,13702089,13704049,+,,
Gm8330,chr10,13702089,13704049,+,,
Itga4,chr2,79093443,79097660,+,,
Add3,chr19,53215309,53217596,+,,
Ccdc19,chr1,174452728,174452917,+,,
Gm20402,chr3,52071146,52075063,+,,
Foxo1,chr3,52071146,52075063,+,,
Gm10797,chr10,67120874,67121302,+,,
Gm17287,chr17,88574231,88576216,+,,
Gypc,chr18,32729039,32729370,+,,
Slc1a5,chr7,17368547,17368914,+,,
G3bp1,chr11,55283823,55284416,+,,
2700038G22Rik,chr5,23376929,23378055,+,,
U6,chr18,55335917,55336102,+,,
Abcc1,chr16,14361640,14362777,+,,
St8sia6,chr2,13706893,13708719,+,,
Prss16,chr13,22085433,22089466,+,,
Cnr2,chr4,135467436,135467886,+,,
Rad51l1,chr12,80727011,80727574,+,,
P2ry2,chr7,108205920,108206204,+,,
Gm13348,chr2,19562172,19563177,+,,
D8Ertd82e,chr8,37157797,37158459,+,,
Adm,chr7,117768397,117771154,+,,
Swap70,chr7,117328165,117328658,+,,
SNORA61,chr3,130513031,130513387,+,,
Atp6v0a1,chr11,100869123,100871935,+,,
Gm13334,chr2,18616557,18623237,+,,
BC061194,chr2,18616557,18623237,+,,
Sun2,chr15,79572337,79572634,+,,
Gm16576,chr15,79572337,79572634,+,,
Slfn2,chr11,82877601,82877807,+,,
Gm12982,chr4,134869601,134870218,+,,
Spag9,chr11,93856486,93857141,+,,
Itpr1,chr6,108502229,108504617,+,,
Reep3,chr10,66558875,66560759,+,,
Jmjd1c,chr10,66558875,66560759,+,,
Sh3pxd2a,chr19,47520321,47524606,+,,
Kdm2a,chr19,4332005,4334495,+,,
Dusp4,chr8,35805746,35808047,+,,
8430419K02Rik,chr11,18772466,18777571,+,,
Arhgap25,chr6,87484589,87485599,+,,
Ralgds,chr2,28394938,28395686,+,,
Gm20388,chr8,123248709,123249567,+,,
Gm20513,chr17,34437507,34438932,+,,
D730003I15Rik,chr1,193047860,193050119,+,,
Ptk2b,chr14,66818484,66819047,+,,
Ubac2,chr14,122337674,122337983,+,,
Pptc7,chr5,122764918,122765205,+,,
Gclc,chr9,77598364,77598628,+,,
Hecw2,chr1,53907976,53908714,+,,
Neat1,chr19,5845319,5845827,+,,
Gm9783,chr19,5845319,5845827,+,,
B4galt5,chr2,167192739,167194707,+,,
Rara,chr11,98798535,98799966,+,,
Pigv,chr4,133215250,133217322,+,,
Tk2,chr8,106770673,106772032,+,,
Cklf,chr8,106770673,106772032,+,,
Il17ra,chr6,120416190,120417030,+,,
Hdac7,chr15,97655226,97656661,+,,
Foxo1,chr3,52200128,52200491,+,,
Pcf11,chr7,99817271,99818929,+,,
Gm20459,chr4,57825801,57826945,+,,
Akap2,chr4,57825801,57826945,+,,
Scaf11,chr15,96303829,96305576,+,,
Spag9,chr11,93857513,93858742,+,,
Mesdc2,chr7,91031701,91033380,+,,
Mesdc1,chr7,91031701,91033380,+,,
S100a11,chr3,93309858,93310599,+,,
Zfp296,chr7,20162688,20163872,+,,
Pik3ip1,chr11,3235765,3236375,+,,
Sdhaf2,chr19,10600017,10600213,+,,
Cpsf7,chr19,10600017,10600213,+,,
Usp6nl,chr2,6280733,6281060,+,,
Gm15707,chr6,145288015,145290757,+,,
Oxsr1,chr9,119231406,119232301,+,,
Egr1,chr18,35013892,35016871,+,,
Gtf2a1,chr12,92826812,92827313,+,,
Nfatc1,chr18,80750731,80751860,+,,
Gm17414,chr17,36134926,36138778,+,,
Wnt10a,chr1,74847179,74847363,+,,
A930015D03Rik,chr17,36134926,36138778,+,,
Sag,chr1,89743609,89744077,+,,
Slc38a2,chr15,96528834,96531235,+,,
Elk4,chr1,133903859,133905296,+,,
Bahd1,chr2,118731243,118731580,+,,
Dnase2a,chr8,87431847,87433132,+,,
Elf1,chr14,79932127,79935506,+,,
Bach2,chr4,32318795,32319097,+,,
Hvcn1,chr5,122659711,122660341,+,,
Nnmt,chr9,48366712,48367044,+,,
Plxdc1,chr11,97848322,97850326,+,,
Mir1938,chr12,40949317,40950268,+,,
Il1r2,chr1,40141195,40143083,+,,
Gm7008,chr12,40949317,40950268,+,,
Gm16894,chr1,40141195,40143083,+,,
Ahcyl2,chr6,29717726,29718104,+,,
Ifrd1,chr12,40949317,40950268,+,,
Cyfip2,chr11,46121392,46121748,+,,
Zmiz1,chr14,26278468,26279979,+,,
Smad3,chr9,63605148,63607257,+,,
Emp3,chr7,53175772,53177537,+,,
D930049A15Rik,chr14,26278468,26279979,+,,
Ccdc114,chr7,53175772,53177537,+,,
Sorcs2,chr5,36431901,36432053,+,,
Gm10797,chr10,67141686,67142326,+,,
Dnajc5b,chr3,19329512,19330617,+,,
Gm17591,chr12,81161254,81162475,+,,
Katnal1,chr5,149788625,149788769,+,,
Gm15406,chr5,149788625,149788769,+,,
Fgr,chr4,132531874,132533578,+,,
Cxcr5,chr9,44329941,44330302,+,,
Zfp518a,chr19,40969098,40969620,+,,
Arsg,chr11,109355698,109356515,+,,
Nae1,chr8,107057912,107059671,+,,
Car7,chr8,107057912,107059671,+,,
Arx,chrX,90534276,90536586,+,,
Rd3,chr1,193813587,193814351,+,,
Gtf3c1,chr7,132782220,132782660,+,,
Arhgap24,chr5,102926108,102926665,+,,
Usp16,chr16,87454954,87456037,+,,
Rprd2,chr3,95623091,95623830,+,,
Il2ra,chr2,11564075,11564337,+,,
Gm16956,chr12,100885141,100885353,+,,
Mos,chr4,3801785,3802981,+,,
Hdac10,chr15,88961874,88962193,+,,
Dusp5,chr19,53603093,53604102,+,,
Mapk12,chr15,88961874,88962193,+,,
SNORA40,chr2,53703045,53703689,+,,
Ahr,chr12,36325749,36325902,+,,
Evx2,chr2,74494354,74497840,+,,
Gimap6,chr6,48647663,48651421,+,,
Gm20544,chr18,75528850,75532038,+,,
Smad7,chr18,75528850,75532038,+,,
Mef2c,chr13,83657199,83657559,+,,
Edaradd,chr13,12595706,12596764,+,,
Zbtb7a,chr10,80591834,80592254,+,,
Foxc1,chr13,31897977,31900107,+,,
Bco2,chr9,50361744,50362430,+,,
Wnt10a,chr1,74849425,74849859,+,,
Rbbp8,chr18,11814871,11816501,+,,
Maff,chr15,79187438,79187740,+,,
Irf8,chr8,123268916,123272238,+,,
Gm20388,chr8,123268916,123272238,+,,
D030054H15Rik,chr17,8064503,8065122,+,,
Gm16677,chr14,69942420,69942971,+,,
Gm17547,chr13,83871204,83874245,+,,
Fadd,chr7,151768238,151768426,+,,
C130071C03Rik,chr13,83871204,83874245,+,,
Ubxn2a,chr12,4917193,4917779,+,,
Hmx3,chr7,138683565,138686172,+,,
Gimap4,chr6,48631664,48632441,+,,
Nebl,chr2,17311709,17313352,+,,
Fgfr2,chr7,138683565,138686172,+,,
Arhgef1,chr7,25692286,25692398,+,,
Dmrt1,chr19,25676982,25679892,+,,
Dhps,chr8,87595499,87595606,+,,
Iscu,chr5,114233571,114234020,+,,
Traf3,chr12,112404563,112405330,+,,
Sin3a,chr9,56920722,56924112,+,,
Sec22a,chr16,35363925,35364013,+,,
Gm10658,chr9,56920722,56924112,+,,
2700012I20Rik,chr9,56920722,56924112,+,,
B4galt1,chr4,40789864,40792343,+,,
4930595D18Rik,chr12,112404563,112405330,+,,
Scd1,chr19,44458335,44459580,+,,
E130114P18Rik,chr4,97444341,97447078,+,,
Nfia,chr4,97444341,97447078,+,,
Igf1r,chr7,75274036,75274335,+,,
Gm11929,chr4,32306638,32307169,+,,
Foxd3,chr4,99326312,99327664,+,,
Tmem194,chr10,127104040,127106053,+,,
Nab2,chr10,127104040,127106053,+,,
Hspa9,chr18,35113881,35114294,+,,
Ica1,chr6,8598767,8598958,+,,
Col15a1,chr4,47316123,47316911,+,,
Tob2,chr15,81686589,81690838,+,,
Adap1,chr5,139774492,139775642,+,,
Rabggta,chr14,56343054,56343712,+,,
H2-Ob,chr17,34378952,34379114,+,,
Nfya,chr17,48547898,48549781,+,,
AI314976,chr17,48547898,48549781,+,,
Bcl6,chr16,23985396,23985931,+,,
Zfp238,chr1,179397152,179398271,+,,
Irf5,chr6,29475247,29480512,+,,
Blk,chr14,64035967,64037843,+,,
Gpr65,chr12,99508170,99508422,+,,
Grpel2,chr18,61884687,61886347,+,,
Unc119,chr11,78159114,78160186,+,,
Filip1l,chr16,57549771,57550551,+,,
2610528E23Rik,chr16,57549771,57550551,+,,
U6,chr12,12587547,12587660,+,,
Lrp10,chr14,55081387,55083888,+,,
Kpna4,chr3,68960388,68960574,+,,
n-R5s92,chr9,115518525,115519947,+,,
Ifngr1,chr10,19311148,19312367,+,,
4931428F04Rik,chr8,107812642,107813510,+,,
Ppp1r16b,chr2,158503422,158504597,+,,
Mab21l2,chr3,86348809,86352183,+,,
Lrba,chr3,86348809,86352183,+,,
Slc14a1,chr18,78338838,78339160,+,,
Litaf,chr16,10996673,10997143,+,,
Prkcb,chr7,129453557,129454439,+,,
Ccdc88b,chr19,6935356,6935515,+,,
1700040L02Rik,chr10,67833851,67834100,+,,
Gm14321,chr2,167580791,167581033,+,,
Fmnl3,chr15,99182040,99182343,+,,
2700038G22Rik,chr5,23380375,23380596,+,,
Ankrd12,chr17,66310246,66311936,+,,
Tufm,chr7,133630620,133630866,+,,
Hc,chr2,34832702,34832960,+,,
Ift140,chr17,25181693,25182754,+,,
A230108P19Rik,chr2,6230607,6230887,+,,
Smarce1,chr11,99050660,99050767,+,,
2310001H17Rik,chr6,129182411,129185130,+,,
Itgb3,chr11,104497549,104499884,+,,
Kcnk10,chr12,99812477,99813680,+,,
Smad3,chr9,63569406,63569604,+,,
Gfi1,chr5,108146708,108148414,+,,
Itpkb,chr1,182338514,182339245,+,,
Vangl2,chr1,173912209,173913148,+,,
Foxp1,chr6,99002962,99004304,+,,
Pan2,chr10,127740102,127740772,+,,
Cdh23,chr10,60160596,60160751,+,,
Emb,chr13,117987163,117988114,+,,
Ccdc19,chr1,174443182,174444774,+,,
Slc32a1,chr2,158437197,158439715,+,,
Gm14205,chr2,158437197,158439715,+,,
Gm14204,chr2,158437197,158439715,+,,
Armc2,chr10,41682517,41682893,+,,
Lin54,chr5,100929655,100930723,+,,
AC109196.1,chr5,100929655,100930723,+,,
Txndc11,chr16,11104012,11104528,+,,
Mir155,chr16,84682285,84682751,+,,
Aff1,chr5,104173113,104174084,+,,
Bri3,chr5,145044487,145044724,+,,
Baiap2l1,chr5,145044487,145044724,+,,
Tmem163,chr1,129410287,129411374,+,,
Gm16956,chr12,100878598,100879396,+,,
7SK,chr15,91464242,91464874,+,,
Pou2af1,chr9,51020101,51024594,+,,
2010013B24Rik,chr6,145254421,145256274,+,,
Hvcn1,chr5,122681069,122684230,+,,
Arhgap17,chr7,130511100,130514011,+,,
Atf4,chr15,80084904,80087131,+,,
Gm10231,chr17,5798051,5800688,+,,
Camkk1,chr11,72832852,72833117,+,,
4732414G09Rik,chr11,72832852,72833117,+,,
Tgfb1,chr7,26471251,26474916,+,,
B9d2,chr7,26471251,26474916,+,,
Ube2d3,chr3,135100336,135103656,+,,
4930539J05Rik,chr3,135100336,135103656,+,,
2310001H17Rik,chr6,129149993,129151776,+,,
Hivep3,chr4,119725628,119727152,+,,
Apoc4,chr7,20269248,20269422,+,,
Apoc2,chr7,20269248,20269422,+,,
Fchsd2,chr7,108215239,108216897,+,,
Mir23a,chr8,86726572,86728695,+,,
Ebf1,chr11,44430116,44433933,+,,
Ttc28,chr5,111607339,111607976,+,,
Prkce,chr17,86736360,86736685,+,,
Pdlim2,chr14,70574978,70575982,+,,
Ildr1,chr16,36684391,36684472,+,,
Panx1,chr9,14849451,14850192,+,,
Slc39a10,chr1,46908395,46911699,+,,
Mettl8,chr2,70770785,70771633,+,,
Gripap1,chrX,7366425,7367249,+,,
Mirlet7i,chr10,122422236,122422579,+,,
Srgap2,chr1,133281158,133281270,+,,
Gm15908,chr13,34782855,34783886,+,,
Dnajc10,chr2,80155084,80155961,+,,
Slc4a7,chr14,15465513,15466311,+,,
Abcg1,chr17,31204056,31204441,+,,
Ubp1,chr9,113839028,113840230,+,,
Rogdi,chr16,5011092,5011765,+,,
Gm16896,chr6,89230564,89230763,+,,
Gm17591,chr12,81099284,81099769,+,,
Xrcc1,chr7,25331222,25332486,+,,
2310033E01Rik,chr7,25331222,25332486,+,,
Pxk,chr14,8946762,8947247,+,,
Mir155,chr16,84703146,84703741,+,,
Cyth1,chr11,118007079,118007317,+,,
Hpgds,chr6,65093736,65094840,+,,
H2-Q4,chr17,35515889,35517180,+,,
Gm11131,chr17,35515889,35517180,+,,
Gabbr2,chr4,46788916,46789514,+,,
Gm15523,chr12,104579533,104579750,+,,
Asb2,chr12,104579533,104579750,+,,
Arhgap25,chr6,87491159,87492197,+,,
Gns,chr10,120811752,120812037,+,,
Arid1a,chr4,133311809,133313591,+,,
Hnrnpa2b1,chr6,51418876,51419564,+,,
Cbx3,chr6,51418876,51419564,+,,
Ppp1r10,chr17,36052534,36054345,+,,
Mrps18b,chr17,36052534,36054345,+,,
Mir1894,chr17,36052534,36054345,+,,
Itk,chr11,46157159,46158111,+,,
Gm12167,chr11,46157159,46158111,+,,
Gm10182,chr9,22128816,22129465,+,,
Tnf,chr17,35336598,35339669,+,,
Slc25a11,chr11,70461439,70467867,+,,
Rnf167,chr11,70461439,70467867,+,,
Pfn1,chr11,70461439,70467867,+,,
Eno3,chr11,70461439,70467867,+,,
4930444E06Rik,chr2,144055797,144057330,+,,
Ak2,chr4,128658387,128658785,+,,
Wbp4,chr14,79880209,79881545,+,,
Mir688,chr15,102500959,102503063,+,,
Il3ra,chr14,15177562,15179010,+,,
Elf1,chr14,79880209,79881545,+,,
Atp5g2,chr15,102500959,102503063,+,,
Enpp6,chr8,48025683,48029244,+,,
Csrnp1,chr9,119889805,119892862,+,,
Atp6v1g3,chr1,140158200,140158530,+,,
C130039O16Rik,chr12,85543443,85544036,+,,
Ms4a7,chr19,11436000,11437465,+,,
Atp6v1g3,chr1,140143929,140146410,+,,
Asph,chr4,9568025,9568472,+,,
Tpst2,chr5,112715963,112716818,+,,
Tbkbp1,chr11,97002015,97003977,+,,
Rapgef6,chr11,54335073,54338080,+,,
Mtap1s,chr8,73430202,73430487,+,,
Cask,chrX,13176525,13176902,+,,
U1,chr12,55796354,55799165,+,,
Eapp,chr12,55796354,55799165,+,,
Fam53c,chr18,34918364,34919749,+,,
Azi2,chr9,117949512,117950294,+,,
Gm11520,chr11,95189964,95190365,+,,
Mir5130,chr14,103382245,103382454,+,,
Kctd12,chr14,103382245,103382454,+,,
Zc3h6,chr2,128792796,128793212,+,,
Tgfbr2,chr9,116083859,116086055,+,,
Kynu,chr2,43411063,43411681,+,,
Gm10762,chr2,128792796,128793212,+,,
5430405H02Rik,chr2,156687835,156689155,+,,
1110008F13Rik,chr2,156687835,156689155,+,,
Gm14089,chr2,118801772,118802427,+,,
Lmo2,chr2,103785877,103785993,+,,
Sufu,chr19,46540369,46541825,+,,
Rbm33,chr5,28648305,28648812,+,,
Mef2d,chr3,87943348,87949331,+,,
Rhoq,chr17,87368230,87369908,+,,
Pik3ap1,chr19,41406388,41407658,+,,
Smad7,chr18,75525605,75528236,+,,
Grn,chr11,102292440,102292915,+,,
Gm20544,chr18,75525605,75528236,+,,
Gm17626,chr12,117292850,117293248,+,,
6330408A02Rik,chr7,13863804,13864166,+,,
Zfp386,chr12,117292850,117293248,+,,
Mmd,chr11,90125383,90125991,+,,
Lig1,chr7,13863804,13864166,+,,
Klraq1,chr17,88980867,88981143,+,,
Dym,chr18,75464083,75464873,+,,
SNORA17,chr3,116168693,116168939,+,,
Gad1-ps,chr10,98922491,98924633,+,,
Myl12a,chr17,71351270,71351956,+,,
Grb2,chr11,115515329,115515668,+,,
Gm16724,chr17,71351270,71351956,+,,
Foxp1,chr6,99198163,99198914,+,,
A930011G23Rik,chr5,99763068,99763682,+,,
Rptor,chr11,119450620,119450860,+,,
Gsx2,chr5,75467559,75467864,+,,
Tor1aip2,chr1,157882982,157883654,+,,
Tor1aip1,chr1,157882982,157883654,+,,
Apbb1ip,chr2,22629050,22630938,+,,
Setd1a,chr7,134919735,134920973,+,,
2310015A10Rik,chr12,81231141,81234386,+,,
Ptger4,chr15,5191705,5192905,+,,
Pde6h,chr6,136913521,136913821,+,,
Inpp5d,chr1,89554442,89556685,+,,
6030468B19Rik,chr11,117660348,117660832,+,,
Isg20,chr7,86057200,86058048,+,,
Il5ra,chr6,106675569,106676150,+,,
Gm17446,chr14,103305529,103307368,+,,
Zdhhc18,chr4,133181318,133182383,+,,
Gm13836,chr5,115941738,115942256,+,,
Rabgef1,chr5,130657485,130658153,+,,
Rab8a,chr8,74693269,74693465,+,,
Pou3f1,chr4,124336950,124337443,+,,
Foxd4,chr19,24972517,24973934,+,,
Pum2,chr12,8645325,8645982,+,,
4930556I23Rik,chr1,37642642,37643486,+,,
D10Jhu81e,chr10,77621596,77622835,+,,
Plekho1,chr3,95790672,95792027,+,,
Nek2,chr1,193638055,193638800,+,,
Smarca2,chr19,26679162,26682446,+,,
Neurog2,chr3,127332392,127336446,+,,
Mir30d,chr15,68194835,68195106,+,,
Grap,chr11,61466469,61467137,+,,
Fam98b,chr2,117075001,117075608,+,,
Nub1,chr5,24193278,24194076,+,,
Dgkd,chr1,89763228,89763550,+,,
Ctif,chr18,75614788,75617048,+,,
Bcl11a,chr11,24038711,24039735,+,,
Tmem64,chr4,15179774,15179909,+,,
Herpud1,chr8,96909839,96911926,+,,
Gm15890,chr8,96909839,96911926,+,,
Pgap3,chr11,98261471,98262141,+,,
4930427A07Rik,chr12,114406225,114406599,+,,
Tomm20,chr8,129350094,129350599,+,,
Med11,chr11,70265164,70267085,+,,
Wdr89,chr12,76769694,76772085,+,,
Map3k5,chr10,19653053,19654096,+,,
H2-Ob,chr17,34375268,34376226,+,,
Ddb2,chr2,91077217,91077615,+,,
A330069E16Rik,chr2,91077217,91077615,+,,
7SK,chr12,88172868,88173976,+,,
Tmem26,chr10,68257856,68258401,+,,
Foxred1,chr9,35018171,35018458,+,,
Srpr,chr9,35018171,35018458,+,,
Pura,chr18,36442089,36443999,+,,
Plxnd1,chr6,115939176,115939395,+,,
Arhgap25,chr6,87480574,87480674,+,,
Gm17556,chr3,54393907,54394126,+,,
Psma6,chr12,56539586,56540185,+,,
Mir183,chr6,30126662,30128227,+,,
Gm5428,chr10,110555043,110556556,+,,
Dopey2,chr16,93711139,93711680,+,,
Stx6,chr1,157006034,157006662,+,,
Itpr2,chr6,146462492,146463558,+,,
Tnfsf18,chr1,163442347,163442765,+,,
Zic5,chr14,122868433,122868970,+,,
Ptpn21,chr12,99974490,99974728,+,,
Pitx2,chr3,128918678,128919955,+,,
Il12a,chr3,68497449,68497796,+,,
Bin1,chr18,32591958,32592302,+,,
Lpin1,chr12,16390372,16391599,+,,
Gm12396,chr4,40728296,40729086,+,,
Sag,chr1,89724646,89725442,+,,
Sh3bp5,chr14,32229284,32231079,+,,
Thap6,chr5,92391009,92391494,+,,
Rchy1,chr5,92391009,92391494,+,,
Gm15710,chr5,92391009,92391494,+,,
Gna13,chr11,109222656,109225393,+,,
Gm11696,chr11,109222656,109225393,+,,
Trib1,chr15,59484498,59484746,+,,
Map3k8,chr18,4294427,4295536,+,,
Asap1,chr15,63906131,63907886,+,,
Foxp1,chr6,99210326,99212112,+,,
Eif4e3,chr6,99210326,99212112,+,,
Inpp4b,chr8,83898777,83899192,+,,
Fgfr1op,chr17,8388552,8389082,+,,
Gm10293,chr3,52358233,52359456,+,,
Jarid2,chr13,44903758,44903954,+,,
4930523C07Rik,chr1,161982219,161984516,+,,
Ubl3,chr5,149366325,149366715,+,,
Specc1l,chr10,74685391,74685802,+,,
Gxylt2,chr6,100750370,100751611,+,,
Gm9888,chr9,114690038,114691364,+,,
Cmtm7,chr9,114690038,114691364,+,,
St3gal1,chr15,66975885,66977558,+,,
Scand1,chr2,156136776,156138912,+,,
4921517L17Rik,chr2,156136776,156138912,+,,
Akna,chr4,63069915,63071991,+,,
Blnk,chr19,41068554,41069341,+,,
Abtb2,chr2,103502277,103502658,+,,
H2-DMb2,chr17,34279995,34280292,+,,
Ubac2,chr14,122327639,122329115,+,,
Dtx1,chr5,121142872,121147398,+,,
n-R5s92,chr9,115520686,115521389,+,,
Heg1,chr16,33751385,33752009,+,,
Txndc5,chr13,38595414,38595659,+,,
Ccr7,chr11,99015315,99016878,+,,
Iqgap1,chr7,87919880,87919997,+,,
Inpp5d,chr1,89523034,89523182,+,,
1110001J03Rik,chr6,38482850,38486135,+,,
Tubb5,chr17,35977476,35978887,+,,
Mdc1,chr17,35977476,35978887,+,,
Ilf3,chr9,21171547,21174051,+,,
Slc38a1,chr15,96469738,96474111,+,,
Notch2,chr3,97816534,97818327,+,,
Sbno2,chr10,79537532,79538399,+,,
Lipg,chr18,75120869,75121345,+,,
St14,chr9,30937309,30938609,+,,
Sgms1,chr19,32242443,32243098,+,,
Slc29a3,chr10,60167781,60169331,+,,
Myst2,chr11,95170251,95172145,+,,
Gm11520,chr11,95170251,95172145,+,,
Ski,chr4,154535995,154537488,+,,
Ly86,chr13,37436661,37437545,+,,
Dapk2,chr9,66128017,66129670,+,,
Ltb,chr17,35331729,35334283,+,,
Ccr6,chr17,8438531,8439658,+,,
Bex6,chr16,32176864,32177689,+,,
Myo1d,chr11,80325817,80326437,+,,
9330179D12Rik,chr6,127105218,127106938,+,,
Kcnk10,chr12,99815339,99817048,+,,
Bin1,chr18,32557032,32557422,+,,
AL591496.5,chr11,75228267,75230122,+,,
AL591496.4,chr11,75228267,75230122,+,,
AL591496.3,chr11,75228267,75230122,+,,
AL591496.2,chr11,75228267,75230122,+,,
AL591496.1,chr11,75228267,75230122,+,,
4930412O13Rik,chr2,9803678,9807753,+,,
Tmem108,chr9,103391265,103392644,+,,
Serpinf1,chr11,75228267,75230122,+,,
Gm16252,chr9,103391265,103392644,+,,
Gata3,chr2,9803678,9807753,+,,
9230102O04Rik,chr2,9803678,9807753,+,,
Irf4,chr13,30847699,30848968,+,,
Fuz,chr7,52150847,52152067,+,,
4922501C03Rik,chr9,87150029,87150587,+,,
Ceacam19,chr7,20461650,20462830,+,,
Mir762,chr7,134851569,134851947,+,,
Bcl7c,chr7,134851569,134851947,+,,
D030054H15Rik,chr17,8107426,8108139,+,,
Ccdc122,chr14,77436370,77436822,+,,
9030625A04Rik,chr14,77436370,77436822,+,,
Nfkbia,chr12,56589262,56590526,+,,
Dock10,chr1,80742842,80743805,+,,
Xrcc6bp1,chr10,126356150,126356414,+,,
Ptp4a2,chr4,129471349,129471464,+,,
Mob3b,chr4,35078728,35079259,+,,
Gm5921,chr9,115408258,115408842,+,,
Mecom,chr3,30404726,30406379,+,,
Syk,chr13,52667784,52668651,+,,
Gsx2,chr5,75462766,75462877,+,,
Zfp52,chr17,21670947,21674257,+,,
9330136K24Rik,chr17,21670947,21674257,+,,
Abcc4,chr14,119090951,119091383,+,,
Grap2,chr15,80465271,80465339,+,,
Ppcdc,chr9,57268562,57269986,+,,
Nfatc3,chr8,108581943,108584233,+,,
Cnr2,chr4,135455907,135456302,+,,
