GeneID,Chromosome,Peak_Start,Peak_End,Strand
Tgif2,chr2,156665455,156666531,+
Slc39a13,chr2,90910313,90911248,+
Gm14230,chr2,156665455,156666531,+
Cdc45,chr16,18811835,18812601,+
Ptprj,chr2,90315059,90315587,+
Hvcn1,chr5,122684562,122685345,+
Antxr1,chr6,87102624,87104039,+
Alx3,chr3,107399669,107399834,+
Fam43a,chr16,30686432,30686778,+
Timm8a2,chr14,122428694,122429448,+
Rpl36a-ps3,chr6,136432454,136433792,+
AC132253.2,chr19,10010463,10014626,+
Prr7,chr13,55572795,55573172,+
Lta,chr17,35346574,35347575,+
Rac2,chr15,78401337,78403769,+
Gm12233,chr11,54950240,54950455,+
Dusp22,chr13,30751520,30751665,+
Slc36a3,chr11,54950240,54950455,+
Fgfr2,chr7,139912265,139912649,+
Fam53b,chr7,139912265,139912649,+
AC141471.1,chr18,36086494,36088107,+
Edem1,chr6,108775131,108775240,+
Pbx4,chr8,72390696,72391330,+
Pes1,chr11,3864688,3865265,+
4930556J24Rik,chr11,3864688,3865265,+
Prkci,chr3,30960185,30960584,+
Fhl3,chr4,124387118,124387635,+
Ptprc,chr1,140071724,140072115,+
Prdm14,chr1,13115268,13117658,+
Polr3b,chr10,84084752,84085515,+
Lbh,chr17,73266502,73268812,+
Gsk3a,chr7,26022599,26024784,+
Gm17249,chr10,84084752,84085515,+
Dock2,chr11,34595551,34598035,+
Cmtm6,chr9,114639682,114640319,+
Bmf,chr2,118371339,118372459,+
U6,chr16,55698604,55698979,+
Chd2,chr7,80717461,80717600,+
7SK,chr11,21080197,21081124,+
Fcrl1,chr3,87205410,87205810,+
Fam167a,chr14,64056096,64057544,+
Gm20388,chr8,123284108,123285259,+
Serp1,chr3,58319916,58322825,+
Ahcyl2,chr6,29788255,29788840,+
Lpp,chr16,24627928,24630925,+
Pvt1,chr15,62000616,62001552,+
Pik3cd,chr4,149069739,149072280,+
Rpl21-ps7,chr17,83675593,83678886,+
Fam50b,chr13,34796323,34797590,+
Gm11613,chr11,97520501,97521247,+
Fmnl3,chr15,99195451,99195699,+
Rftn1,chr17,50296941,50297402,+
5730469M10Rik,chr14,41812697,41813930,+
Stx11,chr10,12683315,12684698,+
Elk3,chr10,92823456,92823616,+
A430110L20Rik,chr1,183160674,183161328,+
1600012F09Rik,chr13,18067679,18067975,+
Lclat1,chr17,73596195,73596677,+
Foxn3,chr12,100619234,100619391,+
Insm1,chr2,146044853,146047557,+
Zfp429,chr13,67500325,67501065,+
Gm10797,chr10,67097638,67097869,+
n-R5s92,chr9,115520686,115521389,+
Ankrd55,chr13,113188345,113188654,+
AC073553.3,chr12,114665684,114665894,+
AC073553.2,chr12,114665684,114665894,+
AC073553.1,chr12,114665684,114665894,+
Dus2l,chr8,108576510,108576620,+
Gm16988,chr10,37058085,37058282,+
Tcf4,chr18,69804276,69804476,+
Fam107b,chr2,3575194,3575433,+
7SK,chr16,84606536,84606655,+
Gpr65,chr12,99508170,99508422,+
SNORA17,chr1,120350238,120350441,+
Clasp1,chr1,120350238,120350441,+
1100001G20Rik,chr11,83550658,83551807,+
Slc25a19,chr11,115492401,115492556,+
Gm2885,chr17,7031064,7033718,+
Rnf44,chr13,54794979,54796380,+
Ddx5,chr11,106648492,106650375,+
Ccdc45,chr11,106648492,106650375,+
Bcor,chrX,11712273,11712414,+
2900008C10Rik,chrX,11712273,11712414,+
Suv420h1,chr19,3767385,3769388,+
Nr4a3,chr4,48054918,48056841,+
2310001H17Rik,chr6,129158324,129160936,+
Lmo4,chr3,143690255,143691149,+
Wdr75,chr1,45851876,45852479,+
Gem,chr4,11631319,11631664,+
Fbxo30,chr10,11000147,11001051,+
Cpd,chr11,76658527,76659996,+
4930432B10Rik,chr10,11000147,11001051,+
4930405A21Rik,chr2,156545505,156546814,+
Tnfrsf1b,chr4,144823029,144824236,+
Mef2b,chr8,72682118,72683332,+
Dlgap4,chr2,156545505,156546814,+
Ctsh,chr9,89954560,89955114,+
2310045N01Rik,chr8,72682118,72683332,+
SNORA42,chr15,61370659,61370804,+
Slc9a7,chrX,19884054,19884674,+
Gm17414,chr17,36134926,36138778,+
A930015D03Rik,chr17,36134926,36138778,+
SNORA42,chr15,61271872,61274641,+
Slc16a6,chr11,109335094,109335285,+
Serbp1,chr6,67216549,67217140,+
Clec2d,chr6,129130471,129130789,+
Arsg,chr11,109335094,109335285,+
Bmf,chr2,118379892,118380683,+
Nr4a1,chr15,101084694,101089786,+
Rbm17,chr2,11524003,11525380,+
Ndrg3,chr2,156817408,156818190,+
Wasf2,chr4,132714948,132717357,+
Rbm33,chr5,28648305,28648812,+
Bank1,chr3,136010373,136010594,+
Gm8369,chr19,11560088,11560974,+
5830416P10Rik,chr19,53496879,53500849,+
Tmem194,chr10,127104040,127106053,+
Nop58,chr1,59741148,59742228,+
Nab2,chr10,127104040,127106053,+
Mtmr14,chr6,113187388,113187831,+
Lyn,chr4,3604905,3609115,+
Kynu,chr2,43411063,43411681,+
Irf2bp2,chr8,129118046,129120460,+
Cep120,chr18,53904324,53904734,+
Cd40,chr2,164880638,164882125,+
Xylt1,chr7,124613944,124614200,+
Tcf12,chr9,71946634,71948460,+
Lass6,chr2,68711107,68711554,+
Itk,chr11,46157159,46158111,+
Gm17726,chr4,3604905,3609115,+
Gm12167,chr11,46157159,46158111,+
Ephx1,chr1,182946765,182947003,+
Birc3,chr9,7867911,7869869,+
Dnajc5b,chr3,19321366,19321746,+
U6,chr7,80761955,80764403,+
Marcks,chr10,36856259,36860585,+
Arhgap30,chr1,173318664,173320520,+
5930403N24Rik,chr10,36856259,36860585,+
Pvrl4,chr1,173318664,173320520,+
U6,chr13,24577582,24580740,+
Arid5a,chr1,36364149,36366173,+
Vps29,chr5,122804242,122804397,+
Snx30,chr4,59816853,59818439,+
Rad9b,chr5,122804242,122804397,+
Rabgap1l,chr1,162721447,162724539,+
Prpf4,chr4,62068177,62070388,+
Mll2,chr15,98701438,98703134,+
Heg1,chr16,33683528,33684358,+
Cdc26,chr4,62068177,62070388,+
5430427O19Rik,chrX,83115438,83115531,+
1110054O05Rik,chr4,59816853,59818439,+
Tpm3,chr3,89883759,89884684,+
Plxnd1,chr6,115939176,115939395,+
Cxxc5,chr18,36009689,36009730,+
Cwc27,chr13,105552498,105553949,+
Crim1,chr17,78761709,78762124,+
St3gal1,chr15,67004289,67008467,+
Fgfr1op,chr17,8402581,8403787,+
U5,chr1,173432466,173434947,+
B930036N10Rik,chr1,173432466,173434947,+
Alyref2,chr1,173432466,173434947,+
Gm16956,chr12,100878598,100879396,+
Zfp296,chr7,20162688,20163872,+
U5,chr1,194571509,194571802,+
Tsg101,chr7,54174559,54175804,+
Tnrc18,chr5,143576066,143583825,+
Tmem168,chr6,13560310,13560899,+
Tmem126a,chr7,97605662,97605819,+
Mbd6,chr10,126725888,126729055,+
Mat2a,chr6,72387833,72389697,+
Gm4189,chr10,126725888,126729055,+
Gm20492,chr10,126725888,126729055,+
Etf1,chr18,35090815,35092530,+
Ddit3,chr10,126725888,126729055,+
B4galnt1,chr10,126599681,126603574,+
Hhat,chr1,194571509,194571802,+
Hcfc2,chr10,82160123,82162533,+
Cyfip2,chr11,46121392,46121748,+
Fam123a,chr14,61062692,61063545,+
Atp13a2,chr4,140538939,140539768,+
A430104N18Rik,chr11,87561864,87566371,+
Zbtb25,chr12,77469603,77472922,+
Zbtb1,chr12,77469603,77472922,+
Skiv2l2,chr13,113717198,113718104,+
Rps15a,chr7,125259581,125260045,+
RNase_MRP,chr4,43505722,43505817,+
Pcbp1,chr6,86474916,86478309,+
Lyl1,chr8,87223611,87226244,+
Gm17626,chr12,117292850,117293248,+
Dhx29,chr13,113717198,113718104,+
Ccdc107,chr4,43505722,43505817,+
4930517O19Rik,chr14,100610403,100610681,+
1600020E01Rik,chr6,86474916,86478309,+
Zfp386,chr12,117292850,117293248,+
Trmt1,chr8,87223611,87226244,+
Sept11,chr5,93580901,93582100,+
Sema4b,chr7,87348382,87350044,+
Nfix,chr8,87223611,87226244,+
Gm14009,chr2,128028935,128030085,+
Gm14005,chr2,128028935,128030085,+
Glipr1,chr10,111437692,111437850,+
Cmtm6,chr9,114651896,114652166,+
3230401D17Rik,chr2,163245389,163245690,+
1700113H08Rik,chr10,86568864,86571538,+
n-R5s92,chr9,115526751,115526998,+
Rpl3-ps1,chrX,12785060,12785454,+
Bach2,chr4,32318795,32319097,+
Prr14,chr7,134621478,134622463,+
Gfpt1,chr6,87024749,87026093,+
Klf10,chr15,38229083,38231041,+
Tlcd2,chr11,75273352,75275145,+
Mir22,chr11,75273352,75275145,+
2210403K04Rik,chr11,75273352,75275145,+
Gm12891,chr4,122609359,122611655,+
Zswim7,chr11,62093859,62094876,+
Zfp335,chr2,164736308,164737484,+
Ttc19,chr11,62093859,62094876,+
Tceb2,chr17,23966233,23966423,+
Smek1,chr12,102321523,102321867,+
Slc35b4,chr6,34127026,34127206,+
Slc25a11,chr11,70461439,70467867,+
Sav1,chr12,71087659,71088493,+
Rnf167,chr11,70461439,70467867,+
Pfn1,chr11,70461439,70467867,+
Nedd1,chr10,92184967,92185292,+
Mrpl30,chr1,37946448,37947608,+
Mknk2,chr10,80138999,80139527,+
Mitd1,chr1,37946448,37947608,+
Gm13855,chr6,34127026,34127206,+
Gm11458,chr2,164736308,164737484,+
Eno3,chr11,70461439,70467867,+
D130020L05Rik,chr12,102321523,102321867,+
C330019G07Rik,chr5,33196812,33197273,+
Bbc3,chr7,16893764,16896408,+
Slc29a3,chr10,60209464,60209636,+
Dbx1,chr7,56889261,56890579,+
C130039O16Rik,chr12,85543443,85544036,+
9330179D12Rik,chr6,127105218,127106938,+
Iglc2,chr16,19152815,19153360,+
Prex1,chr2,166558414,166558758,+
Dnajb12,chr10,59368782,59371862,+
Blnk,chr19,41069883,41071090,+
AW549877,chr15,3932698,3933026,+
Ticam1,chr17,56405747,56406134,+
Ksr1,chr11,78890089,78890285,+
Fam100b,chr11,116284430,116286081,+
Foxp1,chr6,99006027,99008286,+
Agpat4,chr17,12364163,12364307,+
Gm16174,chr7,20402089,20403414,+
Ccdc50,chr16,27387411,27389275,+
Phf15,chr11,51647062,51647170,+
Bcl3,chr7,20402089,20403414,+
Vangl2,chr1,173912209,173913148,+
D6Wsu116e,chr6,116157668,116158496,+
Atp6v0a1,chr11,100869123,100871935,+
Inpp4b,chr8,84160220,84160549,+
Zmym6,chr4,126754366,126754689,+
Psmb2,chr4,126354804,126354858,+
Agpat4,chr17,12358145,12358617,+
Il21r,chr7,132742895,132743394,+
Oxsm,chr14,17005505,17006249,+
Il4ra,chr7,132732130,132732701,+
Eif2c2,chr15,72992561,72992943,+
Dusp4,chr8,35805746,35808047,+
Nfkbid,chr7,31206835,31207355,+
Hcst,chr7,31206835,31207355,+
Gm12679,chr4,44982699,44984100,+
Gm12493,chr4,44982699,44984100,+
9530052E02Rik,chr8,11096962,11099506,+
Mreg,chr1,72260231,72262248,+
Nbn,chr4,15884672,15885908,+
Atg16l2,chr7,108449598,108451180,+
Scel,chr14,103886267,103886467,+
Trim7,chr11,48652070,48652364,+
N4bp2l1,chr5,151398034,151398154,+
Nsmaf,chr4,6372059,6372473,+
Gm10056,chr4,6372059,6372473,+
Pde4b,chr4,102244362,102247357,+
Setbp1,chr18,79232297,79233556,+
Slc35b2,chr17,45699830,45700544,+
Nfkbie,chr17,45699830,45700544,+
Cd38,chr5,44273109,44275534,+
Unc93b1,chr19,3935947,3936661,+
Tank,chr2,61431394,61432251,+
Rnf122,chr8,32230845,32232519,+
Ptprs,chr17,56582890,56583149,+
Osgin1,chr8,121947751,121947918,+
Sag,chr1,89724646,89725442,+
U1,chr11,87240068,87240500,+
Cd19,chr7,133560345,133560498,+
Tex14,chr11,87240068,87240500,+
Grn,chr11,102293488,102293694,+
Adrbk1,chr19,4294087,4295184,+
Cd69,chr6,129223488,129227265,+
Srebf2,chr15,81994007,81994519,+
Fancc,chr13,63532617,63533671,+
Pik3r3,chr4,115895122,115895627,+
Chordc1,chr9,18096410,18096790,+
Rgs1,chr1,146177103,146178087,+
Wasf1,chr10,40603677,40606498,+
Cdc40,chr10,40603677,40606498,+
1700034H14Rik,chr18,85120210,85121573,+
Ubac2,chr14,122327639,122329115,+
Fbxo15,chr18,85120210,85121573,+
Creb1,chr1,64578386,64579712,+
Adck3,chr1,182129483,182129856,+
Cecr5,chr6,120517041,120517951,+
1700023H06Rik,chr13,81024623,81026484,+
Arrdc3,chr13,81024623,81026484,+
Ncf4,chr15,78078016,78078414,+
Hvcn1,chr5,122669784,122670022,+
Zbtb10,chr3,9249596,9250286,+
Adap1,chr5,139779681,139779861,+
Xrn1,chr9,95854793,95855318,+
Tpr,chr1,152239500,152240716,+
Capg,chr6,72494460,72494745,+
BC003331,chr1,152239500,152240716,+
5430411K18Rik,chr18,78134725,78136055,+
Gm16794,chr9,95854793,95855318,+
Foxp1,chr6,99191549,99192307,+
Ermap,chr4,118854127,118854760,+
Tomm20,chr8,129357087,129357923,+
Gfod1,chr13,43363811,43365101,+
Spata5l1,chr2,122456092,122456970,+
Exoc2,chr13,30884100,30884487,+
Pou2f1,chr1,167933045,167933771,+
Nr6a1,chr2,38781609,38782596,+
Gm17444,chr1,167933045,167933771,+
C130022K22Rik,chr6,91827908,91828059,+
Msra,chr14,65059653,65059839,+
Gm14762,chrX,83084545,83084852,+
Snrpd3,chr10,74979486,74981106,+
P4hb,chr11,120433970,120435423,+
1110038D17Rik,chr10,74979486,74981106,+
Tle3,chr9,61233574,61234207,+
Rnf43,chr11,87503843,87504097,+
Pvt1,chr15,62097053,62097314,+
Nfkbiz,chr16,55819937,55821212,+
Jmjd1c,chr10,66667670,66668384,+
Zfp36l2,chr17,84584001,84588862,+
Zcchc6,chr13,59923733,59924595,+
U11,chr4,131824928,131826713,+
Tmem66,chr8,35217545,35217726,+
Dgkq,chr5,109097513,109098394,+
Idua,chr5,109097513,109098394,+
Fgr,chr4,132531874,132533578,+
Tcf3,chr10,79905735,79906088,+
Med20,chr17,47748428,47749155,+
Gm20517,chr17,47748428,47749155,+
Bysl,chr17,47748428,47749155,+
Ube2i,chr17,25409499,25411027,+
Lmbrd1,chr1,24684702,24685808,+
Ddx6,chr9,44412901,44414959,+
Clec2i,chr6,128836940,128838406,+
Anxa5,chr3,36373956,36375081,+
1810062G17Rik,chr3,36373956,36375081,+
Pptc7,chr5,122764918,122765205,+
Nfkb1,chr3,135270289,135271417,+
BC035044,chr6,128836940,128838406,+
A930007I19Rik,chr19,29557628,29563072,+
Zfp541,chr7,16637664,16638840,+
Gm12228,chr11,54620784,54622217,+
Snord82,chr1,88255377,88256849,+
Ncl,chr1,88255377,88256849,+
C130036L24Rik,chr1,88255377,88256849,+
Commd10,chr18,47324991,47325384,+
Wdr95,chr5,150329051,150329365,+
Gm15997,chr5,150329051,150329365,+
Sec11c,chr18,65959664,65963226,+
Rsf1,chr7,104728488,104729266,+
Pofut2,chr10,76721818,76722332,+
Phldb1,chr9,44542321,44543312,+
Ninj1,chr13,49282880,49283738,+
Lrp11,chr10,7309203,7310259,+
Ints3,chr3,90237098,90237640,+
Hes1,chr16,30062374,30068509,+
Gm10941,chr10,76721818,76722332,+
Csrnp1,chr9,119887297,119888389,+
Ap3m2,chr8,23915839,23920442,+
Ankrd13c,chr3,157609642,157610416,+
Add3,chr19,53215309,53217596,+
6330408A02Rik,chr7,13863804,13864166,+
1810020D17Rik,chr7,104728488,104729266,+
1700041G16Rik,chr8,23915839,23920442,+
Nfyc,chr4,120497645,120498921,+
Mef2d,chr3,87952185,87952671,+
Mef2c,chr13,83657199,83657559,+
Lig1,chr7,13863804,13864166,+
Fyn,chr10,39131913,39133570,+
Acsl3,chr1,78699506,78699859,+
Tomm20,chr8,129369142,129370292,+
Enpp6,chr8,48019607,48019920,+
U6,chr19,37568398,37571765,+
Gm14321,chr2,167579374,167579857,+
4930406D18Rik,chr3,100247921,100248402,+
Dad1,chr14,54849886,54851512,+
Cxcr5,chr9,44330846,44337112,+
Nat10,chr2,103601237,103602246,+
Ier2,chr8,87183509,87189280,+
Gm2529,chr8,87183509,87189280,+
Ly6e,chr15,74747938,74752012,+
Slc17a5,chr9,78375152,78375536,+
U3,chr11,87262240,87263034,+
Tbpl1,chr10,22450778,22451498,+
Srcap,chr7,134655120,134656537,+
Shmt1,chr11,60624006,60624998,+
Irf4,chr13,30840509,30843926,+
1810059C17Rik,chr2,17978507,17979254,+
Tex14,chr11,87262240,87263034,+
Mllt10,chr2,17978507,17979254,+
Bcl2l11,chr2,127978203,127979171,+
U6,chr13,44057536,44057597,+
Bach1,chr16,87661141,87661942,+
Gm10088,chr16,19010454,19011651,+
Wdr8,chr4,153514266,153516617,+
Trp73,chr4,153514266,153516617,+
Ints12,chr3,132754695,132754818,+
Gstcd,chr3,132754695,132754818,+
Bend5,chr4,111127982,111128824,+
Agbl4,chr4,111127982,111128824,+
S100a11,chr3,93309858,93310599,+
Trak2,chr1,59029933,59030342,+
Stradb,chr1,59029933,59030342,+
Pomp,chr5,148671687,148672712,+
Hivep3,chr4,119648978,119651303,+
Wbp7,chr7,31374540,31374672,+
Tmed9,chr13,55694321,55694792,+
Tlr9,chr9,106123270,106125738,+
Stk11ip,chr1,75517957,75518525,+
Slc15a3,chr19,10913500,10914343,+
RP23-103L13.8,chr6,52166247,52169231,+
Psmd5,chr2,34725946,34726974,+
Phlda1,chr10,110943142,110943665,+
Nkx2-5,chr17,26979734,26982963,+
Mrpl19,chr6,81915850,81916153,+
Itgav,chr2,83563777,83564869,+
Hoxa7,chr6,52172297,52174468,+
Hoxa3,chr6,52166247,52169231,+
Esrp1,chr4,11314886,11316482,+
Egr2,chr10,66998047,66999205,+
D730039F16Rik,chr2,34725946,34726974,+
Apoo,chrX,91609855,91612684,+
4932442L08Rik,chrX,91609855,91612684,+
4930412O13Rik,chr2,9800496,9802735,+
Pcmt1,chr10,7382004,7383687,+
Hoxa9,chr6,52172297,52174468,+
Hoxa7,chr6,52166247,52169231,+
Gpcpd1,chr2,132401355,132403505,+
Gata3,chr2,9800496,9802735,+
AC141471.1,chr18,36077781,36080587,+
N4bp1,chr8,89435139,89435350,+
Gm11335,chr13,23618196,23618458,+
Nampt,chr12,33459577,33459872,+
Fnbp1,chr2,30938231,30938590,+
Tox,chr4,6851874,6852139,+
Jarid2,chr13,44903758,44903954,+
Gbp9,chr5,105538673,105540520,+
Fchsd2,chr7,108362367,108362566,+
Gad1,chr2,70396356,70397878,+
BC049352,chr9,45054262,45054474,+
1500002O10Rik,chr2,70396356,70397878,+
Emb,chr13,117987163,117988114,+
Zmiz2,chr11,6291140,6291853,+
Gm12865,chr4,118672116,118672455,+
Gm12862,chr4,118672116,118672455,+
Rasa1,chr13,85599109,85599265,+
Sept11,chr5,93565634,93566341,+
Ppp1r16b,chr2,158508172,158508653,+
Rilpl2,chr5,124927738,124929265,+
Spata13,chr14,61355562,61355876,+
Plcl2,chr17,50656100,50658244,+
4930523C07Rik,chr1,161977471,161977968,+
Gm7856,chr16,91521957,91524729,+
Tle4,chr19,14426541,14427391,+
Vipr1,chr9,121584201,121584406,+
Top3a,chr11,60590040,60591355,+
Snrnp35,chr5,124929641,124930459,+
Smcr8,chr11,60590040,60591355,+
Rilpl2,chr5,124929641,124930459,+
Rps7,chr12,29320318,29320892,+
Stk4,chr2,163903759,163905392,+
Coro2a,chr4,46593585,46594364,+
Loxl1,chr9,58122551,58123589,+
Tob2,chr15,81686589,81690838,+
Cd72,chr4,43466245,43470510,+
Trim25,chr11,88884920,88886759,+
Zfp608,chr18,55145301,55152476,+
Gm4221,chr18,55145301,55152476,+
Gm17270,chr18,55145301,55152476,+
Elf1,chr14,79921057,79922822,+
Gimap5,chr6,48694660,48698504,+
Gimap1,chr6,48694660,48698504,+
Zhx2,chr15,57525147,57527540,+
7SK,chr1,193017117,193018031,+
Zfp36l2,chr17,84544790,84545602,+
Gad1-ps,chr10,98922491,98924633,+
Lamc3,chr2,31736251,31736947,+
U6,chr12,12587547,12587660,+
Pcgf5,chr19,36449650,36450323,+
Taf15,chr11,83286160,83286523,+
Snx11,chr11,96635822,96636490,+
Inpp4b,chr8,83990661,83991046,+
Stap1,chr5,86515937,86516079,+
Lin54,chr5,100929655,100930723,+
Itpkb,chr1,182259325,182261267,+
Gm5069,chr1,182259325,182261267,+
AC109196.1,chr5,100929655,100930723,+
Hmg20a,chr9,56265879,56266644,+
Cenpo,chr12,4233636,4234705,+
C230081A13Rik,chr9,56265879,56266644,+
2410017P09Rik,chr12,4233636,4234705,+
Irak3,chr10,119626417,119626616,+
Bend5,chr4,111114469,111115167,+
Agbl4,chr4,111114469,111115167,+
SNORA17,chr14,94941066,94941627,+
Zeb2,chr2,44812663,44812952,+
2210414B05Rik,chr4,3576031,3576718,+
Gm16181,chr17,35354721,35357514,+
Nfkbil1,chr17,35354721,35357514,+
Syk,chr13,52667784,52668651,+
Slc12a3,chr8,96889171,96890210,+
Slc22a28,chr19,8094495,8094816,+
Gm15180,chr1,75562135,75562472,+
Tbc1d10a,chr11,4095739,4095955,+
Parp1,chr1,182471095,182471625,+
Csnk1g3,chr18,54036106,54037830,+
Sdhaf1,chr7,31107238,31108344,+
E130208F15Rik,chr7,31107238,31108344,+
Itpr1,chr6,108502229,108504617,+
Stk3,chr15,34862935,34863041,+
Mef2c,chr13,83203201,83205773,+
Ddx54,chr5,121072143,121072785,+
Nnmt,chr9,48366712,48367044,+
Hivep3,chr4,119631975,119632234,+
A930011G23Rik,chr5,99763902,99766648,+
Tomm20,chr8,129363026,129363192,+
Gm9888,chr9,114690038,114691364,+
Cmtm7,chr9,114690038,114691364,+
Foxp1,chr6,99137344,99139938,+
Vav2,chr2,27259529,27261147,+
Fam43a,chr16,30645907,30646515,+
Mir1938,chr12,40949317,40950268,+
Gm7008,chr12,40949317,40950268,+
Ifrd1,chr12,40949317,40950268,+
Irg1,chr14,103436421,103436557,+
B4galt5,chr2,167200541,167201037,+
B630005N14Rik,chr6,13641659,13641926,+
Pebp4,chr14,70230671,70230976,+
Slfn2,chr11,82877601,82877807,+
Fchsd2,chr7,108215239,108216897,+
Blnk,chr19,41068554,41069341,+
Stk24,chr14,121765198,121765917,+
Sh3kbp1,chrX,156088337,156088870,+
Bcar3,chr3,122109386,122109596,+
Egln2,chr7,27952060,27952335,+
Notch2,chr3,97816534,97818327,+
Cd83,chr13,43879675,43882198,+
Cd180,chr13,103479227,103480250,+
Ninj2,chr6,120034847,120035565,+
Dock10,chr1,80754002,80754281,+
Gm10231,chr17,5804381,5804644,+
4930553M12Rik,chr4,88510227,88511027,+
Gm5921,chr9,115398284,115398643,+
Ptpn22,chr3,103663209,103664516,+
Nup54,chr5,92864170,92864725,+
Gm15472,chr3,103663209,103664516,+
6720456H20Rik,chr14,49065555,49065929,+
Adora3,chr3,105694255,105698803,+
Rap1b,chr10,117346474,117348187,+
Arl5c,chr11,97860586,97860835,+
U4,chr5,115938041,115940923,+
Ube2q1,chr3,89577039,89577276,+
4632404H12Rik,chr3,89577039,89577276,+
1100001G20Rik,chr11,83559613,83560201,+
Fam169b,chr7,75432730,75433033,+
Gm10797,chr10,67120874,67121302,+
Ube2v1,chr2,167459973,167460157,+
Gm20431,chr2,167459973,167460157,+
Prr5,chr15,84515845,84516507,+
BC067074,chr13,114168630,114169604,+
Gm16039,chr6,8434545,8436064,+
Susd3,chr13,49338047,49338469,+
Sgms1,chr19,32242443,32243098,+
Fam43a,chr16,30675345,30680923,+
Ly86,chr13,37423026,37423137,+
Hmga1,chr17,27692605,27693816,+
Bcar3,chr3,122105180,122107976,+
Pou2f2,chr7,25917503,25917841,+
RP24-312B12.1,chr7,25917503,25917841,+
Mlf1ip,chr8,47637041,47637330,+
B330016D10Rik,chr4,141100936,141102503,+
Lrmp,chr6,145069990,145071401,+
Gm20388,chr8,124954046,124954501,+
Cyba,chr8,124954046,124954501,+
Ostn,chr16,27348918,27349698,+
7SK,chr16,84585442,84585516,+
Vps11,chr9,44169381,44170148,+
Cdc34,chr10,79144481,79144680,+
C330006A16Rik,chr2,25995632,25996256,+
7SK,chr9,44169381,44170148,+
Mir155,chr16,84703146,84703741,+
U4,chr4,133360222,133361321,+
Gm4485,chr6,122759766,122762118,+
Zfp622,chr15,25913986,25914172,+
U5,chr9,65048506,65050076,+
Snord37,chr10,80638856,80640171,+
Elk4,chr1,133903859,133905296,+
Eef2,chr10,80638856,80640171,+
Ddx52,chr11,83755285,83756094,+
AB041803,chr6,31167450,31169706,+
2210408F21Rik,chr6,31167450,31169706,+
Pik3ap1,chr19,41418623,41419815,+
Lrch1,chr14,75336164,75336884,+
Angel2,chr1,192752320,192752508,+
Dusp4,chr8,35734014,35734607,+
U6,chr9,71980771,71981519,+
U1,chr12,55796354,55799165,+
Eapp,chr12,55796354,55799165,+
Inpp5d,chr1,89554442,89556685,+
Zdhhc6,chr19,55390393,55391617,+
Vti1a,chr19,55390393,55391617,+
Tomm34,chr2,163899722,163900036,+
Mrps16,chr14,21212252,21213395,+
Mnt,chr11,74642704,74646752,+
Hexim2,chr11,102993230,102994294,+
Gm15409,chr5,149770692,149770902,+
Fbxl19,chr7,134888635,134889908,+
Cpt1a,chr19,3322326,3326125,+
BB557941,chr2,57033931,57034937,+
Arid1a,chr4,133311809,133313591,+
4930555B11Rik,chr2,57033931,57034937,+
Stk4,chr2,163899722,163900036,+
Sbno2,chr10,79537532,79538399,+
Man1a,chr10,53759974,53760942,+
Katnal1,chr5,149770692,149770902,+
Iqgap2,chr13,96455879,96455967,+
H3f3b,chr11,115884673,115886081,+
Gm15406,chr5,149770692,149770902,+
Coq2,chr5,101085239,101085499,+
1810059H22Rik,chr5,149770692,149770902,+
1700057K13Rik,chr1,158957952,158958103,+
U6,chr3,52558944,52559134,+
Ube2g2,chr10,77136458,77137727,+
Wdfy4,chr14,34002384,34005214,+
Zfp36l2,chr17,84579935,84583167,+
Slc38a2,chr15,96538326,96541112,+
U6,chr7,117129546,117130608,+
Tmem41b,chr7,117129546,117130608,+
Slmap,chr14,27354451,27354507,+
Slain2,chr5,73305357,73305928,+
Polr2h,chr16,20716959,20717797,+
Nktr,chr9,121627706,121628052,+
Naa50,chr16,44138973,44140792,+
Gm9870,chr5,73305357,73305928,+
Gm9833,chr3,10087527,10087946,+
Dnase2a,chr8,87431847,87433132,+
Csnk2a1,chr2,152052050,152053315,+
Clcn2,chr16,20716959,20717797,+
BC055324,chr1,165924704,165925439,+
Atp6v1a,chr16,44138973,44140792,+
A930001N09Rik,chr17,26852323,26852627,+
2810422O20Rik,chr1,165924704,165925439,+
Ptch1,chr13,63664294,63666702,+
Ildr1,chr16,36717572,36717712,+
Gnas,chr2,174152820,174153353,+
Asph,chr4,9568025,9568472,+
Foxo1,chr3,52001641,52003909,+
Sipa1l2,chr8,128082744,128083002,+
Pmaip1,chr18,66597376,66597602,+
Gpr133,chr5,129583350,129583764,+
7SK,chr12,88160224,88160424,+
Klrg1,chr6,122243591,122244719,+
Epn2,chr11,61416073,61416472,+
Znfx1,chr2,166888434,166889892,+
U1,chr16,10991539,10993285,+
Tmco4,chr4,138528100,138529637,+
Stambpl1,chr19,34266760,34267428,+
SNORD12,chr2,166888434,166889892,+
Lrwd1,chr5,136611730,136612208,+
D17Wsu92e,chr17,27957737,27957861,+
Cenpc1,chr5,86494736,86496008,+
Amdhd2,chr17,24300600,24300765,+
Alkbh4,chr5,136611730,136612208,+
1500012F01Rik,chr2,166888434,166889892,+
Uvrag,chr7,106250192,106251029,+
Rasgrp3,chr17,75864422,75865985,+
Litaf,chr16,10991539,10993285,+
Hmgb1,chr5,149862367,149863672,+
Bco2,chr9,50356112,50356305,+
Foxo1,chr3,52271896,52272582,+
